,question,qtype,qtype_coarse,qtype_fine
1112,"Who said : `` Soldiers win the battles and generals get the credit '' ?
",HUM:ind,HUM,ind
1113,"What is the proof that houseplants metabolize carcinogens ?
",DESC:desc,DESC,desc
1114,"What prompted the co-pilot of the Enola Gay to enter only `` My God '' in his log ?
",DESC:reason,DESC,reason
1115,"How long does it take the typical hen to lay 19 dozen eggs ?
",NUM:period,NUM,period
1116,"What Colorado city owns its own glacier ?
",LOC:city,LOC,city
1117,"What is the history of `` the toast '' ?
",DESC:desc,DESC,desc
1118,"What was the name of the Protestant revolt against the supremacy of the Pope ?
",ENTY:event,ENTY,event
1119,"What is an arab strap ?
",DESC:def,DESC,def
1120,"How much does it cost , average or whatever is available , to produce and send junk mail catalogues in the US ? , DT CD NN NN ,
",NUM:money,NUM,money
1121,"Who is the current UN Secretary General ?
",HUM:ind,HUM,ind
1122,"Who provides telephone service in Orange County , California ?
",HUM:gr,HUM,gr
1123,"Where did guinea pigs originate ?
",LOC:other,LOC,other
1124,"What two countries ' coastlines border the Bay of Biscay ?
",LOC:country,LOC,country
1125,"Why did Egyptians shave their eyebrows ?
",DESC:reason,DESC,reason
1126,"What organization did Mr. Waverly assign agents for ?
",HUM:gr,HUM,gr
1127,"When was the slinky invented ?
",NUM:date,NUM,date
1128,"What are the characters ' names in the Scooby-Doo cartoon ?
",HUM:ind,HUM,ind
1129,"What is a fear of cold ?
",ENTY:dismed,ENTY,dismed
1130,"What was Eduard Shevardnadze 's job in the Soviet Union ?
",HUM:title,HUM,title
1131,"What causes rust ?
",DESC:reason,DESC,reason
1132,"Which is the only Dick Tracy villain to appear three times ?
",HUM:ind,HUM,ind
1133,"What was the monster in Spielberg 's film `` Jaws '' ?
",ENTY:animal,ENTY,animal
1134,"What color is an Arctic fox in winter ?
",ENTY:color,ENTY,color
1135,"What do the names Neil , Mary , and Anthony mean ?
",DESC:def,DESC,def
1136,"What European capital celebrated its 2 , 000th anniversary in 1951 ?
",LOC:city,LOC,city
1137,"Why do people in the upper peninsula of Michagin say `` eh ? '' ?
",DESC:reason,DESC,reason
1138,"What flower did Vincent Van Gogh paint ?
",ENTY:plant,ENTY,plant
1139,"What country was the setting of You Only Live Twice ?
",LOC:country,LOC,country
1140,"What was Thatcher 's approval rating after 10 years in power ?
",NUM:perc,NUM,perc
1141,"Winnie the Pooh is what kind of animal ?
",ENTY:animal,ENTY,animal
1142,"What was the first Funk 'N Lata , Brazilian group , success ?
",DESC:desc,DESC,desc
1143,"What is a handheld PC ?
",DESC:def,DESC,def
1144,"What did John Hinckley do to impress Jodie Foster ?
",DESC:desc,DESC,desc
1145,"What is Larry King 's job ?
",HUM:title,HUM,title
1146,"How many calories are in a tomato ?
",NUM:count,NUM,count
1147,"In what state was the first co-educational college established
",LOC:state,LOC,state
1148,"What war saw a naval battle between the luxury liners Cap Trafalgar and the Carmania ?
",ENTY:event,ENTY,event
1149,"What is the treatment for depression ?
",ENTY:techmeth,ENTY,techmeth
1150,"What is a fear of slime ?
",ENTY:dismed,ENTY,dismed
1151,"What country in Latin America is the largest one ?
",LOC:country,LOC,country
1152,"On which Hawaiian island is Pearl Harbor ?
",LOC:other,LOC,other
1153,"What feathered cartoon characters do Yugoslavians know as Vlaja , Gaja , and Raja ?
",HUM:ind,HUM,ind
1154,"What Marx Brothers movie centers on a stolen painting ?
",ENTY:cremat,ENTY,cremat
1155,"What was unusual about Alexandra 's appearance in Josie and the Pussycats ?
",DESC:desc,DESC,desc
1156,"What is the origin of the word `` mind '' ?
",DESC:desc,DESC,desc
1157,"When was Dick Clark born ?
",NUM:date,NUM,date
1158,"What game is fatal to anybody over 21 ?
",ENTY:sport,ENTY,sport
1159,"What is the death toll of people dying from tuberculosis ?
",NUM:other,NUM,other
1160,"What happened to Moon Maiden ?
",DESC:desc,DESC,desc
1161,"What city is wiener schnitzel named for ?
",LOC:city,LOC,city
1162,"What are the Urals ?
",DESC:def,DESC,def
1163,"How can you stop the itch from poison ivy ?
",DESC:manner,DESC,manner
1164,"What desert has the highest sand dunes ?
",LOC:other,LOC,other
1165,"What two countries contain Sierra Nevada mountains ?
",LOC:country,LOC,country
1166,"How do you tell your parents you are dating an older man ?
",DESC:manner,DESC,manner
1167,"How long was the TV mission of Star Trek 's Enterprise to be ?
",NUM:period,NUM,period
1168,"What phone number can I call to have a tree planted ?
",NUM:code,NUM,code
1169,"When did the `` Star-Spangled Banner '' become the national anthem ?
",NUM:date,NUM,date
1170,"Who was Lacan ?
",HUM:desc,HUM,desc
1171,"What are the four natural aids used in riding a horse ?
",ENTY:techmeth,ENTY,techmeth
1172,"What continent 's name appears on the upper left corner of a Budweiser label ?
",LOC:other,LOC,other
1173,"Who was the Secretary of War in the Civil War during the Battle of Gettysburg ?
",HUM:ind,HUM,ind
1174,"Who did Bobby Fischer beat to win the world chess championship ?
",HUM:ind,HUM,ind
1175,"How do you exterminate bees that are in the walls of your home ? Will bee eggs remain over winter ?
",DESC:manner,DESC,manner
1176,"Where can I get information and statistics on countries and nations ?
",LOC:other,LOC,other
1177,"Name a Gaelic language .
",ENTY:lang,ENTY,lang
1178,"What day is August 13 , 1971 ?
",NUM:date,NUM,date
1179,"Where can I find a list of all the companies in America that offer a direct stock purchase plan ?
",LOC:other,LOC,other
1180,"How do you send a movie transcript to Hollywood so that it can be produced into a film ?
",DESC:manner,DESC,manner
1181,"What literary classic centers on the search for a treasure in gold worth 7 , 0 pounds ?
",ENTY:cremat,ENTY,cremat
1182,"What is the origin of blue for boys and pink for girls ?
",DESC:desc,DESC,desc
1183,"What is the name of the Michelangelo painting that shows two hands with fingers touching ?
",ENTY:cremat,ENTY,cremat
1184,"How big is a quart ?
",NUM:volsize,NUM,volsize
1185,"What is the Hub of London ?
",DESC:def,DESC,def
1186,"Jude Law acted in which film ?
",ENTY:cremat,ENTY,cremat
1187,"What causes panic attacks ?
",DESC:reason,DESC,reason
1188,"What was the filling in the first golf balls ?
",DESC:def,DESC,def
1189,"What drug did Sigmund Freud become fascinated with while experimenting with the treatment of neurasthenia ?
",ENTY:dismed,ENTY,dismed
1190,"What country was A Terrible Beauty to Leon Uris ?
",LOC:country,LOC,country
1191,"What is typhoid fever ?
",DESC:def,DESC,def
1192,"Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?
",LOC:other,LOC,other
1193,"What are the Twin Cities ?
",DESC:def,DESC,def
1194,"What is Beethoven 's 9th symphony called ?
",ENTY:cremat,ENTY,cremat
1195,"Name the lawyer for Randy Craft .
",HUM:ind,HUM,ind
1196,"Which breakfast cereal brought you `` the best each morning '' ?
",ENTY:food,ENTY,food
1197,"What does Ms. , Miss , and Mrs. stand for ?
",ABBR:exp,ABBR,exp
1198,"What is the Homelite Inc. home page ?
",LOC:other,LOC,other
1199,"What explosive do you get by mixing charcoal , sulfur and saltpeter ?
",ENTY:substance,ENTY,substance
1200,"What mountainous region of the world is the Lhasa Apso dog native to ?
",LOC:other,LOC,other
1201,"What cancer is commonly associated with AIDS ?
",ENTY:dismed,ENTY,dismed
1202,"How long does it take light to reach the Earth from the Sun ?
",NUM:period,NUM,period
1203,"Who lives at 39 Stone Canyon Way ?
",HUM:ind,HUM,ind
1204,"How many questions are on this thing ?
",NUM:count,NUM,count
1205,"Who played Humpty Dumpty in the 1933 film Alice in Wonderland ?
",HUM:ind,HUM,ind
1206,"Who is Karenna Gore , Al Gore 's oldest daughter , married to ?
",HUM:ind,HUM,ind
1207,"Who played the title role in I Was a Teenage Werewolf ?
",HUM:ind,HUM,ind
1208,"Why are there olives in martinis ?
",DESC:reason,DESC,reason
1209,"In what year did Hitler gain power of Germany ?
",NUM:date,NUM,date
1210,"What year did Rossetti paint `` Beata Beatrix '' ?
",NUM:date,NUM,date
1211,"What record company produced the 1978 movie The Wiz ?
",HUM:gr,HUM,gr
1212,"Where can I find information about touring the Philippines ?
",LOC:other,LOC,other
1213,"What did The Gas House Gang play ?
",ENTY:other,ENTY,other
1214,"How many square feet is Bill Gates ' home ?
",NUM:count,NUM,count
1215,"What is the name of actor Rex Harrison 's son , who starred in a modestly popular TV show during the late 1960's ?
",HUM:ind,HUM,ind
1216,"What is the highest Roman numeral ?
",DESC:def,DESC,def
1217,"What 's the most popular form of bridge ?
",ENTY:other,ENTY,other
1218,"Who was the inventor of the stove ?
",HUM:ind,HUM,ind
1219,"What comedian has a legendary reputation for stealing jokes ?
",HUM:ind,HUM,ind
1220,"Where can I find information on the cyclone that hit New Jersey on 8/28/1941 ?
",LOC:other,LOC,other
1221,"Boxing Day is celebrated on what date ?
",NUM:date,NUM,date
1222,"What are the first ten amendements passed ?
",ENTY:cremat,ENTY,cremat
1223,"What is another term for the painful wrist syndrome ?
",ENTY:dismed,ENTY,dismed
1224,"What 's the difference between sleet and freezing rain ?
",DESC:desc,DESC,desc
1225,"How is the new Ford Econoline van F25 V1 engine ?
",DESC:manner,DESC,manner
1226,"Who was the king who was forced to agree to the Magna Carta ?
",HUM:ind,HUM,ind
1227,"Who was made the first honorary citizen of the U.S. ?
",HUM:ind,HUM,ind
1228,"What game is Garry Kasparov really good at ?
",ENTY:sport,ENTY,sport
1229,"Where was Richard Nixon when Gerald Ford became president ?
",LOC:other,LOC,other
1230,"Where does the U.S. rank among world countries in area ?
",NUM:ord,NUM,ord
1231,"What novel did Ian Fleming introduce James Bond in ?
",ENTY:cremat,ENTY,cremat
1232,"What was the target rate for M3 growth in 1992 ?
",NUM:perc,NUM,perc
1233,"What baseball team was routinely called `` dem bums '' by its frustrated fans ?
",HUM:gr,HUM,gr
1234,"Name of scholar on whose literal translations from the Chinese and Japanese Ezra Pound depended ?
",HUM:ind,HUM,ind
1235,"When did Israel begin turning the Gaza Strip and Jericho over to the PLO ?
",NUM:date,NUM,date
1236,"What are the major differences in the Catholic and Methodist religions ?
",DESC:desc,DESC,desc
1237,"Name the On Stage character whose face was never seen .
",HUM:ind,HUM,ind
1238,"How much energy is released when oxygen and hydrogen mix ?
",NUM:count,NUM,count
1239,"What is the best Internet business to go into ?
",HUM:gr,HUM,gr
1240,"What does Venus Retrograde mean ?
",DESC:def,DESC,def
1241,"Who is known as `` the world 's oldest teenager '' ?
",HUM:ind,HUM,ind
1242,"What are the largest breweries in the world ?
",LOC:other,LOC,other
1243,"What does Las Vegas mean ?
",DESC:def,DESC,def
1244,"What does the word `` meta '' mean ?
",DESC:def,DESC,def
1245,"What keeps clouds in the air ?
",ENTY:other,ENTY,other
1246,"What 's the term for any four-sided figure ?
",ENTY:termeq,ENTY,termeq
1247,"Ray Charles plays which instrument ?
",ENTY:instru,ENTY,instru
1248,"What country and western singer is known as The Silver Fox ?
",LOC:country,LOC,country
1249,"What building appropriately enough is depicted on the back of the 1-dollar bill ?
",LOC:other,LOC,other
1250,"What is graduate school ?
",DESC:def,DESC,def
1251,"What is the difference between New York-style and Chicago-style pizza ?
",DESC:desc,DESC,desc
1252,"What baseball team owner and sailor is known as The Mouth of the South ?
",HUM:ind,HUM,ind
1253,"What type of betting is used in horse racing ?
",ENTY:sport,ENTY,sport
1254,"What kind of hat does Bat Masterson wear ?
",ENTY:product,ENTY,product
1255,"Who was with Patricia Hearst the night she was kidnaped ?
",HUM:ind,HUM,ind
1256,"What is the Viking Prince 's first name ?
",HUM:ind,HUM,ind
1257,"What does the abbreviation cwt. ?
",ABBR:exp,ABBR,exp
1258,"In what deodorant commercial did tenants have adjoining medicine cabinets ?
",ENTY:other,ENTY,other
1259,"Where is Rider College located ?
",LOC:other,LOC,other
1260,"What boxer 's life story is titled Raging Bull ?
",HUM:ind,HUM,ind
1261,"For what reason did some San Diego schools stop serving apples ?
",DESC:reason,DESC,reason
1262,"Who advised listeners to `` see the U.S.A. in your Chevrolet '' ?
",HUM:ind,HUM,ind
1263,"Where was the first restaurant ?
",LOC:other,LOC,other
1264,"Where can I find full written draft of CTBT ?
",LOC:other,LOC,other
1265,"How many horses died during the civil war ?
",NUM:count,NUM,count
1266,"How much waste does an average dairy cow produce in a day ?
",NUM:count,NUM,count
1267,"What Nobel laureate was expelled from the Philippines before the conference on East Timor ?
",HUM:ind,HUM,ind
1268,"What woman has carried the most multiple births , twins , triplets , etc. , ?
",HUM:ind,HUM,ind
1269,"How many minutes were there on the original GE College Bowl clock ?
",NUM:count,NUM,count
1270,"What is the average time it takes for a male to ejaculate ?
",NUM:period,NUM,period
1271,"What is website of the International Court of Justice ?
",LOC:other,LOC,other
1272,"Where are 8 of the 10 highest mountains in the world ?
",LOC:other,LOC,other
1273,"Where can I look at a perpetual calendar ?
",LOC:other,LOC,other
1274,"How many astronauts have been on the moon ?
",NUM:count,NUM,count
1275,"In what year did the Bounty mutiny happen ?
",NUM:date,NUM,date
1276,"What is the only substance that gives food its `` taste '' when eaten ?
",ENTY:substance,ENTY,substance
1277,"How do you reference a website ?
",DESC:manner,DESC,manner
1278,"What is pandoro ?
",DESC:def,DESC,def
1279,"What do the letters ZIP stand for in the phrase `` ZIP code '' ?
",ABBR:exp,ABBR,exp
1280,"Which Bourbon king was restored to the French throne during Napoleon 's abdication ?
",HUM:ind,HUM,ind
1281,"What is one of the cities that the University of Minnesota is located in ?
",LOC:city,LOC,city
1282,"What are the words to `` My Way '' written by Paul Anka ?
",DESC:desc,DESC,desc
1283,"How do I install a tile floor ?
",DESC:manner,DESC,manner
1284,"What is the quickest and easiest way to get nail polish out of clothes ?
",ENTY:techmeth,ENTY,techmeth
1285,"Why was the zipper invented ?
",DESC:reason,DESC,reason
1286,"What 's the No. 1 killer in industrialized countries ?
",ENTY:other,ENTY,other
1287,"Name four famous cartoon cats .
",ENTY:animal,ENTY,animal
1288,"What daughter of Henry VIII and Anne Boleyn became queen of England ?
",HUM:ind,HUM,ind
1289,"How did ` stat ' come to be used as an expression for quickly ?
",DESC:manner,DESC,manner
1290,"What 's the most common nickname of U.S. college football teams ?
",HUM:gr,HUM,gr
1291,"What 's the distinction of U.S. Supreme Court Justice Thurgood Marshall ?
",DESC:desc,DESC,desc
1292,"What is the most useful site on the Internet ?
",LOC:other,LOC,other
1293,"What is the world 's highest peak ?
",LOC:mount,LOC,mount
1294,"What was a Mae West on a World War II battleship ?
",DESC:def,DESC,def
1295,"Define cosmology .
",DESC:def,DESC,def
1296,"What comedienne upstaged Dwight D. Eisenhower 's first inauguration by giving birth to her first child ?
",HUM:ind,HUM,ind
1297,"What are amicable numbers ?
",DESC:def,DESC,def
1298,"When were the Olympic Games in which Nadia Comaneci became popular played ?
",NUM:date,NUM,date
1299,"Where is Hearst Castle , built by publisher William Randolph Hearst ?
",LOC:other,LOC,other
1300,"What 's the largest U.S. city on the Great Lakes ?
",LOC:city,LOC,city
1301,"Who sang about Desmond and Molly Jones ?
",HUM:ind,HUM,ind
1302,"What magazine gives us the cream , not the skim ?
",ENTY:cremat,ENTY,cremat
1303,"What does the technique called `` cold fusion '' produce ?
",ENTY:techmeth,ENTY,techmeth
1304,"What costume designer decided that Michael Jackson should only wear one glove ?
",HUM:ind,HUM,ind
1305,"What meter did Shakespeare use in writing : `` To be , or not to be , that is the question.. . '' ?
",ENTY:other,ENTY,other
1306,"How many rows of sprocket holes does a roll of 35-millimeter film have ?
",NUM:count,NUM,count
1307,"What is the goat population of the world ?
",NUM:count,NUM,count
1308,"What company was the original sponsor of TV 's Superman ?
",HUM:gr,HUM,gr
1309,"What term does a Czech use to describe a Pole ?
",ENTY:termeq,ENTY,termeq
1310,"What sea separates Naples and Algiers ?
",LOC:other,LOC,other
1311,"How many lawyers are there in the state of New Jersey ?
",NUM:count,NUM,count
1312,"What are the most common elements in seawater ?
",ENTY:substance,ENTY,substance
1313,"Describe the Finnish music personality Salonen 's appearance .
",DESC:desc,DESC,desc
1314,"What is the origin of the ethnic category `` caucasian '' ?
",DESC:desc,DESC,desc
1315,"What is a stratocaster ?
",DESC:def,DESC,def
1316,"What kind of science is cosmology ?
",ENTY:other,ENTY,other
1317,"Name the blind sculptress in love with the Fantastic Four 's Thing .
",HUM:ind,HUM,ind
1318,"What 's the second-lightest element ?
",ENTY:substance,ENTY,substance
1319,"What do you call a `` twirl '' in ballet ?
",ENTY:termeq,ENTY,termeq
1320,"What is the brand name of daminozide ?
",ENTY:product,ENTY,product
1321,"What is the former name of Zimbabwe ?
",ENTY:termeq,ENTY,termeq
1322,"What National Basketball Association superstar told his story in Giant Steps ?
",HUM:ind,HUM,ind
1323,"What animals did The Amazing Three masquerade as ?
",ENTY:animal,ENTY,animal
1324,"How did the bikini bathing suite get its name ?
",DESC:manner,DESC,manner
1325,"When did Fraze get his first patent for the pull-tab can ?
",NUM:date,NUM,date
1326,"How many games are played in a five-team round-robin tournament ?
",NUM:count,NUM,count
1327,"Who developed the first polio vaccine ?
",HUM:ind,HUM,ind
1328,"Who made the first gas engine ?
",HUM:ind,HUM,ind
1329,"What country claimed Rubens , Van Dyck and Bruegel as citizens ?
",LOC:country,LOC,country
1330,"What civil war was fought between 1936 and 1939 ?
",ENTY:event,ENTY,event
1331,"How many questions do you have on your database ?
",NUM:count,NUM,count
1332,"How do clouds form ?
",DESC:manner,DESC,manner
1333,"Where can I find examples of legal cases about the Individuals with Disabilities Education Act ?
",LOC:other,LOC,other
1334,"What character did Tex Avery first create upon arriving at MGM ?
",HUM:ind,HUM,ind
1335,"When was the Triangle Shirtwaist fire ?
",NUM:date,NUM,date
1336,"What Asian spiritual and political leader was married at the age of 13 ?
",HUM:ind,HUM,ind
1337,"Where is Ocho Rios ?
",LOC:other,LOC,other
1338,"What is the half-life of P-32 ?
",DESC:def,DESC,def
1339,"What ocean does Mauritania border ?
",LOC:other,LOC,other
1340,"Why do pressure cookers save time in the kitchen ?
",DESC:reason,DESC,reason
1341,"Why are there 12 people on a jury in criminal cases ?
",DESC:reason,DESC,reason
1342,"What do Christian Scientists believe in ?
",DESC:desc,DESC,desc
1343,"What World War I battle saw 6 , 0 troops killed in one day ?
",ENTY:event,ENTY,event
1344,"What country is Kosovo a part of ?
",LOC:country,LOC,country
1345,"Tell me what city the Kentucky Horse Park is near ?
",LOC:city,LOC,city
1346,"What computer operating system is on the most computers ?
",ENTY:product,ENTY,product
1347,"What is Bill Gross 's email address ?
",LOC:other,LOC,other
1348,"What is the economic impact of unemployment on the economy ?
",DESC:desc,DESC,desc
1349,"What do the letters D.C. stand for in Washington , D.C. ?
",ABBR:exp,ABBR,exp
1350,"What animals can live the longest without food ?
",ENTY:animal,ENTY,animal
1351,"What English queen had seventeen children ?
",HUM:ind,HUM,ind
1352,"What is the approximate population of Las Vegas , N.M ?
",NUM:other,NUM,other
1353,"How much does the President get paid ?
",NUM:money,NUM,money
1354,"What two baseball players make up the battery ?
",HUM:ind,HUM,ind
1355,"What 's the largest letter in Salvador Dali 's signature ?
",ENTY:letter,ENTY,letter
1356,"What does an irate car owner call iron oxide ?
",ENTY:termeq,ENTY,termeq
1357,"Of children between the ages of two and eleven , what percentage watch `` The Simpsons '' ?
",NUM:perc,NUM,perc
1358,"What 's the northernmost U.S. state apart from Alaska ?
",LOC:state,LOC,state
1359,"Name an art gallery in New York .
",LOC:other,LOC,other
1360,"Who sells Viagra ?
",HUM:ind,HUM,ind
1361,"What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?
",ENTY:instru,ENTY,instru
1362,"What is the Home Rule Act ?
",DESC:def,DESC,def
1363,"What building are British monarchs crowned in ?
",LOC:other,LOC,other
1364,"What are Bellworts ?
",DESC:def,DESC,def
1365,"Who was Darius ?
",HUM:desc,HUM,desc
1366,"What movie told of Anna Anderson 's claim to be a Russian czar 's daughter ?
",ENTY:cremat,ENTY,cremat
1367,"Who did Dita Beard work for ?
",HUM:ind,HUM,ind
1368,"What kind of creature is a coot ?
",ENTY:animal,ENTY,animal
1369,"Name the university of which Woodrow Wilson was president .
",HUM:gr,HUM,gr
1370,"What country was first to use the airplane as a weapon of war , against the Turks in Libya ?
",LOC:country,LOC,country
1371,"What university was Woodrow Wilson President of ?
",HUM:gr,HUM,gr
1372,"What is a fear of disease ?
",ENTY:dismed,ENTY,dismed
1373,"What kind of meat is Fray Bentos synonymous with ?
",ENTY:food,ENTY,food
1374,"What did Mr. Magoo flog on TV for General Electric ?
",ENTY:other,ENTY,other
1375,"What are the words to the Canadian National anthem ?
",DESC:desc,DESC,desc
1376,"What is the name of the Jewish alphabet ?
",ENTY:termeq,ENTY,termeq
1377,"Who served as inspiration for the schoolteacher portrayed by Robin Williams in `` Dead Poets Society '' ?
",HUM:ind,HUM,ind
1378,"What is Columbia Tristar 's phone number ?
",NUM:code,NUM,code
1379,"Name the five positions who are in the line of succession to the presidency .
",HUM:title,HUM,title
1380,"Which one of the original seven Mercury program astronauts did not fly on any of the Mercury flights ?
",HUM:ind,HUM,ind
1381,"Who is the best known villain of the 165 Gunpowder Plot ?
",HUM:ind,HUM,ind
1382,"What is the capital of Burkina Faso ?
",LOC:city,LOC,city
1383,"What continent is Bolivia on ?
",LOC:other,LOC,other
1384,"Why was Muhammad Ali stripped of his title and barred from boxing in 1967 ?
",DESC:reason,DESC,reason
1385,"Who killed more people , Hitler or Stalin ?
",HUM:ind,HUM,ind
1386,"What caused Shea & Gould to close their L.A. office ?
",DESC:reason,DESC,reason
1387,"What 's the only mammal that can 't jump ?
",ENTY:animal,ENTY,animal
1388,"What U.S. state has the most blondes ?
",LOC:state,LOC,state
1389,"What war saw battles at Parrot 's Beak and Black Virgin ?
",ENTY:event,ENTY,event
1390,"What was the U.S. highway death toll in 1969 ?
",NUM:count,NUM,count
1391,"What does the name Kelly mean ?
",DESC:def,DESC,def
1392,"What is a phalanx ?
",DESC:def,DESC,def
1393,"What mustachioed comedian portrayed Frankie in North to Alaska ?
",HUM:ind,HUM,ind
1394,"What does each of the utilities cost in Monopoly ?
",NUM:money,NUM,money
1395,"What actor and World War II airman had a $5 , 0 bounty put on his head by Hermann Goering ?
",HUM:ind,HUM,ind
1396,"What does e.g. stand for ?
",ABBR:exp,ABBR,exp
1397,"What is the name of the medical condition in which a baby is born without a brain ?
",ENTY:dismed,ENTY,dismed
1398,"How do storms form ?
",DESC:manner,DESC,manner
1399,"Who is Nicolo Paganini ?
",HUM:desc,HUM,desc
1400,"What city is often called The Insurance Capital of the World ?
",LOC:city,LOC,city
1401,"What are the three animals in Sheila Burnford 's The Incredible Journey ?
",ENTY:animal,ENTY,animal
1402,"Who portrayed Dracula in Hammer Studios ' films ?
",HUM:ind,HUM,ind
1403,"Name one of the Seven Wonders of the Ancient World .
",ENTY:other,ENTY,other
1404,"When were fish first believed to be found on earth ?
",NUM:date,NUM,date
1405,"What President 's favorite Biblical quotation was : `` Come now , and let us reason together '' .
",HUM:ind,HUM,ind
1406,"How many elevators do you ride to reach the top floor of the Empire State Building ?
",NUM:count,NUM,count
1407,"Name the food company that traveled to Soviet Georgia to film a series of ads .
",HUM:gr,HUM,gr
1408,"What country was Sir Edmund Hillary born in ?
",LOC:country,LOC,country
1409,"What 's an infant seal called ?
",ENTY:animal,ENTY,animal
1410,"What was the proper Laugh-In respones to : `` Say goodnight , Dick '' ?
",DESC:desc,DESC,desc
1411,"What city was John F. Kennedy nominated for president in ?
",LOC:city,LOC,city
1412,"How long does a dog sleep ?
",NUM:period,NUM,period
1413,"What 1963 Joseph L. Mankiewicz film cost $28 million ?
",ENTY:cremat,ENTY,cremat
1414,"What Japanese electronics company was named for a coastal city northeast of Tokyo ?
",HUM:gr,HUM,gr
1415,"What can you be fined for having a dog on a beach ?
",NUM:money,NUM,money
1416,"Where did the Battle of the Bulge take place ?
",LOC:other,LOC,other
1417,"How much will the California be in the year 2000 ?
",NUM:count,NUM,count
1418,"What mystery writer penned `` ...the glory that was Greece , and the grandeur that was Rome '' ?
",HUM:ind,HUM,ind
1419,"What state full of milk and honey was the destination in The Grapes of Wrath ?
",LOC:state,LOC,state
1420,"What is the tallest building in Japan ?
",LOC:other,LOC,other
1421,"Where is Sinn Fein 's headquarters ?
",LOC:other,LOC,other
1422,"Name Li 'l Abner 's favorite Indian drink .
",ENTY:food,ENTY,food
1423,"What are some important events of the 1830 's ?
",ENTY:event,ENTY,event
1424,"The Iraqis launched their attack on Kuwait on what day ?
",NUM:date,NUM,date
1425,"What letter adorns the flag of Rwanda ?
",ENTY:letter,ENTY,letter
1426,"What did 8 , CD NNS VBP TO VB NNP POS NN .
",ENTY:other,ENTY,other
1427,"What is God ?
",DESC:def,DESC,def
1428,"What country 's northernmost city is Darwin ?
",LOC:country,LOC,country
1429,"What sound does Olympia , Washington , overlook ?
",LOC:other,LOC,other
1430,"What TV show chronicled the lives of Katy Holstrum and Congressman Glen Morley ?
",ENTY:cremat,ENTY,cremat
1431,"What Kentucky city calls itself The Horse Center of America ?
",LOC:city,LOC,city
1432,"How many penny-farthings are there on a Trivial Pursuit game board ?
",NUM:count,NUM,count
1433,"What 's the most abundant element in the sun ?
",ENTY:substance,ENTY,substance
1434,"What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?
",LOC:country,LOC,country
1435,"What U.S. state is Dixville Notch in ?
",LOC:state,LOC,state
1436,"Where was the Cisalpine Republic , 1797-185 , ?
",LOC:other,LOC,other
1437,"What is the largest shopping mall in the world ?
",LOC:other,LOC,other
1438,"What is the protagonist 's name in Dostoevski 's `` The Idiot '' ?
",HUM:ind,HUM,ind
1439,"What penalty space lies between Baltic Avenue and Reading Railroad on a Monopoly board ?
",ENTY:other,ENTY,other
1440,"What presidential press secretary dismissed Watergate as a third-rate burglary attempt ?
",HUM:ind,HUM,ind
1441,"What is a meerkat ?
",DESC:def,DESC,def
1442,"Who was Jean Nicolet ?
",HUM:desc,HUM,desc
1443,"What kind of animal was Winnie the Pooh ?
",ENTY:animal,ENTY,animal
1444,"Which of these are authors ?
",HUM:ind,HUM,ind
1445,"What 's the international radio code word for the letter B ?
",ENTY:word,ENTY,word
1446,"Who was the original Humpty Dumpty ?
",HUM:ind,HUM,ind
1447,"What is cache memory ?
",DESC:def,DESC,def
1448,"Aspartame is also known as what ?
",ENTY:termeq,ENTY,termeq
1449,"Where is the location of the Orange Bowl ?
",LOC:other,LOC,other
1450,"When is President Nixon 's birthday ?
",NUM:date,NUM,date
1451,"What is the origin of the midwest slang , ` you 're darn tootin ' ?
",DESC:desc,DESC,desc
1452,"Whose cupboard was bare ?
",HUM:ind,HUM,ind
1453,"What are the seven seas ?
",LOC:other,LOC,other
1454,"What does IBM stand for ?
",ABBR:exp,ABBR,exp
1455,"What is the difference between jazz and blues ?
",DESC:desc,DESC,desc
1456,"What is the C programming language ?
",DESC:def,DESC,def
1457,"What 's the name of Popeye 's adopted son ?
",HUM:ind,HUM,ind
1458,"Who invented the vacuum cleaner ?
",HUM:ind,HUM,ind
1459,"What is a ` borrow pit ' ?
",DESC:def,DESC,def
1460,"What 2th-century fictional character attends Pencey Prep School ?
",HUM:ind,HUM,ind
1461,"How many people in the USA say their number one source of information is the newspaper ?
",NUM:count,NUM,count
1462,"Who does Shakespeare 's Antonio borrow 3 , 0 ducats from ?
",HUM:ind,HUM,ind
1463,"Which country is known as `` Big Bear '' ?
",LOC:country,LOC,country
1464,"What `` melts in your mouth , not in your hands '' .
",ENTY:food,ENTY,food
1465,"How many times a day should you take a prescription marked `` q.i.d . '' ?
",NUM:count,NUM,count
1466,"What is the origin of the atom ?
",DESC:desc,DESC,desc
1467,"Who is the Voyager project manager ?
",HUM:ind,HUM,ind
1468,"Which radio stations air the Jim Bohannon Radio Talk Show ?
",HUM:gr,HUM,gr
1469,"What two commanders directed the forces in the Battle of El Alamein ?
",HUM:ind,HUM,ind
1470,"Name the creator of `` The Muppets '' .
",HUM:ind,HUM,ind
1471,"How do I e-mail someone at aol.com from yahoo.com ?
",DESC:manner,DESC,manner
